Time,WL_LongDai,WL_HamNinh,WL_AnLac,WL_KienGiang,RF_KienGiang,WL_LeThuy,RF_LeThuy,WL_DongHoi,RF_DongHoi,Tide_DongHoi,,,,
13/09/2005 01:00,0.35,0.35,0.35,5.74,0.00,0.01,0.00,-0.29,0.00,0.35,,,,
13/09/2005 02:00,0.33,0.30,0.36,5.91,11.62,0.05,0.93,-0.24,0.00,0.24,,,,
13/09/2005 03:00,0.25,0.24,0.35,7.32,11.62,0.16,0.93,-0.15,0.00,0.08,,,,
13/09/2005 04:00,0.18,0.17,0.34,8.48,11.62,0.29,0.93,-0.08,0.00,-0.12,,,,
13/09/2005 05:00,0.14,0.14,0.33,9.85,11.62,0.42,0.93,0.02,0.00,-0.30,,,,
13/09/2005 06:00,0.21,0.22,0.31,10.56,11.62,0.56,0.93,0.17,0.00,-0.43,,,,
13/09/2005 07:00,0.34,0.32,0.32,10.74,11.62,0.65,0.93,0.33,0.00,-0.49,,,,
13/09/2005 08:00,0.52,0.51,0.36,10.49,10.45,1.12,6.18,0.51,4.39,-0.47,,,,
13/09/2005 09:00,0.74,0.72,0.43,10.10,10.45,1.45,6.18,0.69,4.39,-0.38,,,,
13/09/2005 10:00,0.98,0.91,0.51,10.06,10.45,1.59,6.18,0.83,4.39,-0.23,,,,
13/09/2005 11:00,1.19,1.02,0.62,9.97,10.45,1.60,6.18,0.90,4.39,-0.06,,,,
13/09/2005 12:00,1.38,1.12,0.75,9.71,10.45,1.60,6.18,0.98,4.39,0.10,,,,
13/09/2005 13:00,1.61,1.23,0.88,9.59,10.45,1.54,6.18,1.03,4.39,0.20,,,,
13/09/2005 14:00,1.85,1.36,1.01,9.27,1.52,1.53,0.43,1.02,4.39,0.23,,,,
13/09/2005 15:00,2.11,1.51,1.13,9.05,1.52,1.52,0.43,1.02,4.39,0.18,,,,
13/09/2005 16:00,2.32,1.66,1.21,8.84,1.52,1.51,0.43,1.02,4.39,0.09,,,,
13/09/2005 17:00,2.47,1.78,1.27,8.74,1.52,1.51,0.43,1.05,4.39,-0.01,,,,
13/09/2005 18:00,2.56,1.88,1.31,8.51,1.52,1.47,0.43,1.12,4.39,-0.09,,,,
13/09/2005 19:00,2.63,1.98,1.35,8.41,1.52,1.45,0.43,1.15,4.39,-0.12,,,,
13/09/2005 20:00,2.67,2.04,1.39,8.25,0.00,1.38,0.57,1.18,1.11,-0.09,,,,
13/09/2005 21:00,2.68,2.08,1.42,8.14,0.00,1.33,0.57,1.18,1.11,-0.01,,,,
13/09/2005 22:00,2.66,2.10,1.45,8.03,0.00,1.28,0.57,1.15,1.11,0.10,,,,
13/09/2005 23:00,2.60,2.09,1.47,7.90,2.40,1.22,0.57,1.05,1.11,0.23,,,,
14/09/2005 00:00,2.52,2.06,1.49,7.71,2.40,1.19,0.57,0.97,1.11,0.34,,,,
14/09/2005 01:00,2.43,2.02,1.51,7.57,2.40,1.16,0.57,0.90,1.11,0.39,,,,
14/09/2005 02:00,2.33,1.96,1.52,7.52,0.78,1.13,1.43,0.84,1.11,0.36,,,,
14/09/2005 03:00,2.23,1.89,1.52,7.46,0.78,1.10,1.43,0.79,1.11,0.25,,,,
14/09/2005 04:00,2.12,1.82,1.52,7.40,0.78,1.07,1.43,0.76,1.11,0.08,,,,
14/09/2005 05:00,2.02,1.76,1.52,7.32,0.78,1.04,1.43,0.75,1.11,-0.10,,,,
14/09/2005 06:00,1.93,1.69,1.52,7.24,0.78,1.02,1.43,0.77,1.11,-0.25,,,,
14/09/2005 07:00,1.85,1.63,1.52,7.13,0.78,1.00,1.43,0.77,1.11,-0.36,,,,
14/09/2005 08:00,1.78,1.57,1.52,7.22,0.00,0.98,1.13,0.79,0.25,-0.39,,,,
14/09/2005 09:00,1.72,1.54,1.52,7.32,0.00,0.96,1.13,0.83,0.25,-0.35,,,,
14/09/2005 10:00,1.68,1.52,1.51,7.43,0.00,0.96,1.13,0.86,0.25,-0.25,,,,
14/09/2005 11:00,1.65,1.51,1.51,7.40,0.00,0.96,1.13,0.86,0.25,-0.11,,,,
14/09/2005 12:00,1.62,1.49,1.51,7.32,0.00,0.96,1.13,0.87,0.25,0.03,,,,
14/09/2005 13:00,1.58,1.46,1.50,7.28,0.00,0.95,1.13,0.86,0.25,0.14,,,,
14/09/2005 14:00,1.54,1.42,1.50,7.22,0.08,0.94,0.03,0.81,0.25,0.18,,,,
14/09/2005 15:00,1.49,1.39,1.49,7.13,0.08,0.93,0.03,0.78,0.25,0.16,,,,
14/09/2005 16:00,1.45,1.36,1.47,7.06,0.08,0.92,0.03,0.72,0.25,0.07,,,,
14/09/2005 17:00,1.41,1.33,1.46,7.02,0.08,0.90,0.03,0.69,0.25,-0.05,,,,
14/09/2005 18:00,1.37,1.29,1.45,6.94,0.08,0.89,0.03,0.63,0.25,-0.15,,,,
14/09/2005 19:00,1.32,1.26,1.43,6.92,0.08,0.87,0.03,0.59,0.25,-0.21,,,,
14/09/2005 20:00,1.28,1.22,1.42,7.13,0.00,0.86,0.00,0.53,0.53,-0.21,,,,
14/09/2005 21:00,1.23,1.17,1.41,7.49,0.00,0.85,0.00,0.47,0.53,-0.15,,,,
14/09/2005 22:00,1.18,1.13,1.39,8.60,0.00,0.88,0.00,0.43,0.53,-0.04,,,,
14/09/2005 23:00,1.13,1.08,1.38,8.66,0.00,0.90,0.00,0.39,0.53,0.10,,,,
15/09/2005 00:00,1.08,1.03,1.36,8.56,0.00,0.96,0.00,0.37,0.53,0.24,,,,
15/09/2005 01:00,1.03,0.98,1.35,8.47,0.00,1.01,0.00,0.35,0.53,0.35,,,,
15/09/2005 02:00,0.97,0.93,1.33,8.26,0.00,1.03,0.38,0.35,0.53,0.39,,,,
15/09/2005 03:00,0.92,0.88,1.31,8.14,0.00,1.05,0.38,0.37,0.53,0.35,,,,
15/09/2005 04:00,0.88,0.84,1.30,8.05,0.00,1.08,0.38,0.39,0.53,0.24,,,,
15/09/2005 05:00,0.83,0.80,1.29,7.97,0.00,1.11,0.38,0.42,0.53,0.08,,,,
15/09/2005 06:00,0.80,0.76,1.27,7.89,0.00,1.08,0.38,0.44,0.53,-0.07,,,,
15/09/2005 07:00,0.77,0.74,1.26,8.47,0.00,1.04,0.38,0.46,0.53,-0.20,,,,
15/09/2005 08:00,0.75,0.72,1.24,8.70,2.78,1.07,0.07,0.50,0.00,-0.26,,,,
15/09/2005 09:00,0.76,0.75,1.23,8.60,2.78,1.10,0.07,0.53,0.00,-0.26,,,,
15/09/2005 10:00,0.85,0.86,1.22,8.52,2.78,1.12,0.07,0.57,0.00,-0.21,,,,
15/09/2005 11:00,0.99,0.98,1.21,8.43,2.78,1.13,0.07,0.60,0.00,-0.11,,,,
15/09/2005 12:00,1.08,1.07,1.21,8.26,2.78,1.12,0.07,0.62,0.00,0.00,,,,
15/09/2005 13:00,1.11,1.10,1.21,8.00,2.78,1.10,0.07,0.62,0.00,0.10,,,,
15/09/2005 14:00,1.10,1.09,1.22,7.79,2.52,1.10,0.00,0.62,0.00,0.16,,,,
15/09/2005 15:00,1.08,1.06,1.22,7.64,2.52,1.09,0.00,0.61,0.00,0.14,,,,
15/09/2005 16:00,1.05,1.03,1.21,7.52,2.52,1.08,0.00,0.56,0.00,0.07,,,,
15/09/2005 17:00,1.02,1.00,1.21,7.46,2.52,1.07,0.00,0.54,0.00,-0.05,,,,
15/09/2005 18:00,0.98,0.97,1.20,7.42,2.52,1.05,0.00,0.52,0.00,-0.18,,,,
15/09/2005 19:00,0.95,0.94,1.19,7.36,2.52,1.03,0.00,0.49,0.00,-0.27,,,,
15/09/2005 20:00,0.92,0.91,1.18,7.28,0.00,1.02,0.00,0.48,0.08,-0.31,,,,
15/09/2005 21:00,0.89,0.88,1.17,7.21,0.00,1.00,0.00,0.43,0.08,-0.27,,,,
15/09/2005 22:00,0.86,0.84,1.16,7.16,0.00,0.99,0.00,0.38,0.08,-0.18,,,,
15/09/2005 23:00,0.82,0.80,1.15,7.11,0.00,0.97,0.00,0.35,0.08,-0.05,,,,
16/09/2005 00:00,0.78,0.76,1.14,7.07,0.00,0.96,0.00,0.31,0.08,0.11,,,,
16/09/2005 01:00,0.73,0.71,1.13,7.02,0.00,0.94,0.00,0.27,0.08,0.25,,,,
16/09/2005 02:00,0.69,0.67,1.12,7.00,0.00,0.93,0.00,0.24,0.08,0.34,,,,
16/09/2005 03:00,0.65,0.63,1.11,6.97,0.00,0.93,0.00,0.21,0.08,0.37,,,,
16/09/2005 04:00,0.62,0.60,1.10,6.92,0.00,0.92,0.00,0.18,0.08,0.32,,,,
16/09/2005 05:00,0.60,0.57,1.09,6.87,0.00,0.91,0.00,0.16,0.08,0.22,,,,
16/09/2005 06:00,0.58,0.55,1.08,6.83,0.00,0.89,0.00,0.14,0.08,0.08,,,,
16/09/2005 07:00,0.58,0.54,1.07,6.80,0.00,0.88,0.00,0.15,0.08,-0.04,,,,
16/09/2005 08:00,0.59,0.55,1.06,6.76,0.00,0.87,0.00,0.17,0.00,-0.13,,,,
16/09/2005 09:00,0.62,0.57,1.05,6.72,0.00,0.86,0.00,0.25,0.00,-0.16,,,,
16/09/2005 10:00,0.68,0.66,1.05,6.68,0.00,0.85,0.00,0.37,0.00,-0.14,,,,
16/09/2005 11:00,0.82,0.81,1.04,6.64,0.00,0.84,0.00,0.51,0.00,-0.07,,,,
16/09/2005 12:00,0.97,0.96,1.05,6.61,0.00,0.82,0.00,0.60,0.00,0.01,,,,
16/09/2005 13:00,1.07,1.04,1.07,6.58,0.00,0.81,0.00,0.64,0.00,0.09,,,,
16/09/2005 14:00,1.10,1.06,1.10,6.55,0.00,0.80,0.00,0.66,0.00,0.14,,,,
16/09/2005 15:00,1.10,1.06,1.13,6.52,0.00,0.80,0.00,0.64,0.00,0.14,,,,
16/09/2005 16:00,1.09,1.05,1.14,6.50,0.00,0.79,0.00,0.58,0.00,0.07,,,,
16/09/2005 17:00,1.07,1.03,1.15,6.48,0.00,0.78,0.00,0.55,0.00,-0.04,,,,
16/09/2005 18:00,1.04,1.00,1.15,6.46,0.00,0.78,0.00,0.54,0.00,-0.17,,,,
16/09/2005 19:00,1.02,0.98,1.14,6.44,0.00,0.77,0.00,0.52,0.00,-0.29,,,,
16/09/2005 20:00,0.99,0.96,1.14,6.41,0.00,0.76,0.00,0.53,0.00,-0.36,,,,
16/09/2005 21:00,0.97,0.94,1.13,6.39,0.00,0.76,0.00,0.54,0.00,-0.37,,,,
16/09/2005 22:00,0.95,0.93,1.12,6.37,0.00,0.75,0.00,0.49,0.00,-0.31,,,,
16/09/2005 23:00,0.93,0.91,1.12,6.35,0.00,0.74,0.00,0.41,0.00,-0.19,,,,
17/09/2005 00:00,0.91,0.87,1.11,6.33,0.00,0.74,0.00,0.34,0.00,-0.04,,,,
17/09/2005 01:00,0.87,0.83,1.10,6.31,0.00,0.73,0.00,0.26,0.00,0.11,,,,
17/09/2005 02:00,0.82,0.79,1.10,6.30,0.00,0.73,0.00,0.19,0.00,0.25,,,,
17/09/2005 03:00,0.78,0.74,1.09,6.29,0.00,0.72,0.00,0.13,0.00,0.33,,,,
17/09/2005 04:00,0.73,0.69,1.08,6.28,0.00,0.72,0.00,0.08,0.00,0.35,,,,
17/09/2005 05:00,0.68,0.65,1.06,6.27,0.00,0.71,0.00,0.05,0.00,0.30,,,,
17/09/2005 06:00,0.63,0.60,1.05,6.26,0.00,0.71,0.00,0.02,0.00,0.21,,,,
17/09/2005 07:00,0.59,0.56,1.04,6.25,0.00,0.70,0.00,0.01,0.00,0.10,,,,
17/09/2005 08:00,0.55,0.52,1.02,6.24,0.00,0.69,0.00,0.03,0.00,0.01,,,,
17/09/2005 09:00,0.51,0.49,1.01,6.22,0.00,0.69,0.00,0.14,0.00,-0.04,,,,
17/09/2005 10:00,0.49,0.48,0.99,6.21,0.00,0.68,0.00,0.28,0.00,-0.05,,,,
17/09/2005 11:00,0.52,0.53,0.97,6.20,0.00,0.67,0.00,0.38,0.00,-0.01,,,,
17/09/2005 12:00,0.66,0.67,0.96,6.19,0.00,0.67,0.00,0.48,0.00,0.04,,,,
17/09/2005 13:00,0.80,0.80,0.95,6.18,0.00,0.66,0.00,0.58,0.00,0.10,,,,
17/09/2005 14:00,0.90,0.89,0.95,6.17,0.00,0.66,0.00,0.66,0.00,0.14,,,,
17/09/2005 15:00,0.89,0.88,0.97,6.16,0.00,0.66,0.00,0.61,0.00,0.14,,,,
17/09/2005 16:00,0.86,0.85,0.98,6.15,0.00,0.66,0.00,0.60,0.00,0.09,,,,
17/09/2005 17:00,0.83,0.82,0.98,6.14,0.00,0.65,0.00,0.54,0.00,-0.01,,,,
17/09/2005 18:00,0.79,0.78,0.98,6.14,0.00,0.65,0.00,0.50,0.00,-0.15,,,,
17/09/2005 19:00,0.76,0.75,0.97,6.13,0.00,0.65,0.00,0.47,0.00,-0.28,,,,
17/09/2005 20:00,0.73,0.73,0.96,6.12,0.00,0.65,2.42,0.57,5.63,-0.39,,,,
17/09/2005 21:00,0.72,0.72,0.95,6.12,0.00,0.65,2.42,0.62,5.63,-0.43,,,,
17/09/2005 22:00,0.74,0.75,0.94,6.11,0.00,0.66,2.42,0.69,5.63,-0.40,,,,
17/09/2005 23:00,0.77,0.77,0.94,6.11,3.00,0.66,2.42,0.67,5.63,-0.32,,,,
18/09/2005 00:00,0.77,0.76,0.93,6.10,3.00,0.66,2.42,0.70,5.63,-0.19,,,,
18/09/2005 01:00,0.74,0.73,0.93,6.10,3.00,0.67,2.42,0.68,5.63,-0.03,,,,
18/09/2005 02:00,0.69,0.68,0.92,6.14,11.45,0.68,5.70,0.59,5.63,0.12,,,,
18/09/2005 03:00,0.64,0.62,0.92,6.20,11.45,0.69,5.70,0.52,5.63,0.24,,,,
18/09/2005 04:00,0.58,0.57,0.91,6.30,11.45,0.70,5.70,0.48,5.63,0.31,,,,
18/09/2005 05:00,0.53,0.51,0.90,6.78,11.45,0.71,5.70,0.40,5.63,0.33,,,,
18/09/2005 06:00,0.50,0.47,0.89,7.32,11.45,0.72,5.70,0.34,5.63,0.28,,,,
18/09/2005 07:00,0.49,0.45,0.89,7.59,11.45,0.74,5.70,0.37,5.63,0.21,,,,
18/09/2005 08:00,0.50,0.45,0.89,8.22,8.87,0.77,7.05,0.48,4.20,0.13,,,,
18/09/2005 09:00,0.54,0.47,0.91,9.07,8.87,0.81,7.05,0.68,4.20,0.07,,,,
18/09/2005 10:00,0.58,0.51,0.94,9.53,8.87,0.89,7.05,0.78,4.20,0.05,,,,
18/09/2005 11:00,0.63,0.56,0.98,9.65,8.87,1.05,7.05,1.05,4.20,0.06,,,,
18/09/2005 12:00,0.71,0.65,1.04,9.88,8.87,1.24,7.05,1.25,4.20,0.09,,,,
18/09/2005 13:00,0.82,0.79,1.12,10.13,8.87,1.38,7.05,1.35,4.20,0.13,,,,
18/09/2005 14:00,0.93,0.88,1.20,10.47,0.53,1.53,1.52,1.46,4.20,0.15,,,,
18/09/2005 15:00,1.00,0.94,1.26,10.43,0.53,1.69,1.52,1.54,4.20,0.15,,,,
18/09/2005 16:00,1.05,0.98,1.31,10.14,0.53,1.80,1.52,1.63,4.20,0.11,,,,
18/09/2005 17:00,1.10,1.01,1.34,9.71,0.53,1.88,1.52,1.69,4.20,0.02,,,,
18/09/2005 18:00,1.16,1.04,1.36,9.31,0.53,1.87,1.52,1.68,4.20,-0.10,,,,
18/09/2005 19:00,1.23,1.08,1.36,9.05,0.53,1.84,1.52,1.66,4.20,-0.24,,,,
18/09/2005 20:00,1.29,1.13,1.37,8.70,0.00,1.75,0.00,1.62,0.00,-0.37,,,,
18/09/2005 21:00,1.35,1.17,1.37,8.41,0.00,1.68,0.00,1.58,0.00,-0.45,,,,
18/09/2005 22:00,1.39,1.21,1.37,8.26,0.00,1.61,0.00,1.57,0.00,-0.47,,,,
18/09/2005 23:00,1.43,1.26,1.36,8.08,0.00,1.55,0.00,1.55,0.00,-0.42,,,,
19/09/2005 00:00,1.46,1.31,1.36,7.94,0.00,1.53,0.00,1.50,0.00,-0.32,,,,
19/09/2005 01:00,1.48,1.34,1.36,7.83,0.00,1.50,0.00,1.42,0.00,-0.18,,,,
19/09/2005 02:00,1.47,1.34,1.35,7.74,0.00,1.48,0.00,1.33,0.00,-0.03,,,,
19/09/2005 03:00,1.44,1.31,1.35,7.65,0.00,1.46,0.00,1.22,0.00,0.11,,,,
19/09/2005 04:00,1.39,1.26,1.34,7.57,0.00,1.45,0.00,1.08,0.00,0.23,,,,
19/09/2005 05:00,1.33,1.21,1.34,7.49,0.00,1.43,0.00,0.94,0.00,0.30,,,,
